id,accommodates,bathrooms,bedrooms,price,cleaning_fee,security_deposit,extra_people,guests_included,distance,size,host_has_profile_pic,host_response_time,host_response_rate,host_is_superhost,number_of_reviews,review_scores_rating,neighbourhood_group_cleansed,longitude,latitude,property_type,room_type,bed_type,minimum_nights,instant_bookable,is_business_travel_ready,geometry
157839,4,1.0,1,29,20,100,15,1,5.224934112,40.0,t,1.0,100.0,0,252,96.0,Mitte,13.34221396,52.53082537,0,0,Real Bed,1,1,f,POINT (13.34221396483542 52.53082537497308)
158890,2,1.0,1,100,40,1000,0,6,2.230318146,50.0,t,NaN,NaN,1,3,100.0,Friedrichshain-Kreuzberg,13.43653685,52.4990345,0,1,Real Bed,10,1,f,POINT (13.43653684574781 52.4990345036111)
159454,6,1.0,2,161,0,1000,0,1,6.84457509,94.6065511,t,NaN,NaN,0,43,98.0,Charlottenburg-Wilm.,13.31140194,52.47831222,4,1,Real Bed,2,1,f,POINT (13.31140194458996 52.4783122169229)
160517,6,2.0,2,65,65,500,8,2,12.50214195,45.0,t,0.0,100.0,1,5,100.0,Reinickendorf,13.30217747,52.59656149,6,1,Pull-out Sofa,2,0,f,POINT (13.30217747125586 52.59656148881527)
161425,5,1.0,2,70,60,200,25,2,4.81980069,81.81299989,t,0.0,100.0,1,103,94.0,Pankow,13.41446918,52.54566761,0,1,Real Bed,2,0,f,POINT (13.41446917506448 52.54566761341074)
163287,2,1.0,1,29,20,500,15,1,1.307773272,55.31683913,t,2.0,100.0,1,71,96.0,Friedrichshain-Kreuzberg,13.39727063,52.49179158,0,1,Real Bed,150,1,f,POINT (13.39727062512351 52.4917915795528)
163411,4,1.0,2,80,40,200,15,2,2.261331554,85.0,t,NaN,NaN,1,12,90.0,Friedrichshain-Kreuzberg,13.43637492,52.49737973,0,1,Real Bed,5,1,f,POINT (13.43637492408772 52.49737973107708)
167189,2,1.0,1,49,15,0,0,2,2.293224219,10.0,t,0.0,100.0,1,374,95.0,Friedrichshain-Kreuzberg,13.43801443,52.50188544,1,0,Real Bed,3,0,f,POINT (13.43801442532907 52.5018854427702)
168615,3,1.0,1,49,20,0,10,1,9.086212705,50.0,t,1.0,100.0,1,6,100.0,Pankow,13.44539122,52.5805505,0,1,Real Bed,2,1,f,POINT (13.44539121943636 52.58055049897068)
169603,4,1.0,1,59,49,90,20,2,5.434293039,84.0,t,NaN,NaN,0,28,99.0,Lichtenberg,13.48379361,52.49655708,0,1,Real Bed,1,0,f,POINT (13.48379361279146 52.49655707634615)
169907,2,1.5,1,30,15,150,0,1,6.197319595,49.95316666,t,NaN,NaN,1,13,100.0,Tempelhof - Schöneberg,13.33036846,52.46981278,0,0,Real Bed,1,0,f,POINT (13.33036845595435 52.46981277766224)
170582,1,1.0,1,23,0,500,10,1,7.274024207,20.0,t,1.0,100.0,1,15,96.0,Charlottenburg-Wilm.,13.31373666,52.46746818,0,0,Pull-out Sofa,5,1,f,POINT (13.31373666484139 52.46746817520619)
170652,2,1.0,1,40,50,150,20,1,4.750948188,62.62779274,t,1.0,100.0,1,5,90.0,Mitte,13.39728936,52.54529865,0,0,Pull-out Sofa,5,1,f,POINT (13.39728935759606 52.54529865450746)
170974,3,1.0,1,35,30,0,18,2,3.142112118,65.0,t,0.0,100.0,1,48,93.0,Neukölln,13.43020963,52.4793888,0,0,Real Bed,7,1,f,POINT (13.43020962875588 52.4793888009748)
171746,2,1.0,1,70,50,0,30,2,4.644353201,15.0,t,NaN,NaN,1,84,94.0,Pankow,13.41409916,52.5441059,0,1,Real Bed,4,0,f,POINT (13.41409916284289 52.54410590255335)
173153,5,2.0,2,80,50,300,20,1,3.093982479,95.0,t,NaN,NaN,1,33,96.0,Pankow,13.40701671,52.53054851,0,1,Real Bed,2,1,f,POINT (13.40701671335552 52.53054850965057)
174391,2,1.0,1,42,10,0,0,1,2.941858823,10.0,t,NaN,NaN,1,1,NaN,Mitte,13.39684141,52.52885629,0,0,Real Bed,1,1,f,POINT (13.39684141486465 52.52885628704049)
174547,3,1.0,2,96,100,500,30,2,1.213399047,40.0,t,NaN,NaN,1,31,94.0,Mitte,13.41595072,52.51100177,0,1,Real Bed,60,1,f,POINT (13.41595071993794 52.51100177386567)
174560,3,1.0,2,75,30,0,15,2,1.283025185,56.0,t,NaN,NaN,1,56,94.0,Mitte,13.41790609,52.51072775,0,1,Real Bed,60,1,f,POINT (13.41790608561939 52.51072774657479)
174576,5,1.0,2,96,100,500,30,2,1.099359055,40.0,t,NaN,NaN,1,41,93.0,Mitte,13.4162288,52.50939927,0,1,Real Bed,60,1,f,POINT (13.4162288036222 52.50939926752596)
174579,3,1.0,2,76,30,0,15,2,1.040234454,71.59235433,t,NaN,NaN,1,81,93.0,Mitte,13.41556269,52.50905486,0,1,Real Bed,60,1,f,POINT (13.41556268538749 52.50905485517384)
175667,2,1.0,1,46,35,200,10,1,4.310025458,15.0,t,2.0,100.0,1,8,89.0,Tempelhof - Schöneberg,13.34331492,52.49137801,0,1,Real Bed,60,1,f,POINT (13.34331491696083 52.49137801093193)
176342,6,2.0,3,296,98,500,69,4,0.828269352,200.0,t,1.0,100.0,1,18,93.0,Friedrichshain-Kreuzberg,13.39201042,52.50363148,0,1,Real Bed,1,1,f,POINT (13.39201042090914 52.50363148256159)
